CustomerID,YearMonth,Invoices_Count,Monthly_Spend,Monthly_Units,Months_Balance,Status
12395,2011-08,1,165.95,35,-1,0
12395,2011-10,1,346.68,118,1,0
12395,2011-11,3,772.38,371,2,C
12397,2011-07,1,1214.81,704,-2,0
12397,2011-11,1,1195.09,559,2,0
12398,2011-10,1,1635.6599999999999,1394,1,0
12399,2011-03,1,288.05,364,-6,0
12399,2011-05,1,480.90000000000003,494,-4,0
12399,2011-06,1,130.08,145,-3,0
12399,2011-08,1,209.62,175,-1,0
12401,2011-02,1,84.3,11,-7,0
12402,2011-01,1,225.6,94,-8,0
12403,2011-10,1,427.7,96,1,0
12405,2011-07,1,1710.39,857,-2,0
12406,2011-06,1,1621.25,793,-3,0
12406,2011-11,1,1794.05,1025,2,0
12407,2011-03,1,226.3,215,-6,0
12407,2011-04,1,269.66,204,-5,0
12407,2011-07,2,911.4,818,-2,C
12407,2011-10,1,300.76,179,1,0
12408,2011-03,2,837.59,356,-6,C
12408,2011-06,1,654.18,378,-3,0
12408,2011-09,1,642.28,310,0,0
12408,2011-11,1,754.5,365,2,0
12409,2011-06,1,6207.08,3142,-3,0
12409,2011-09,2,4865.59,2409,0,C
12410,2011-02,2,693.3299999999999,211,-7,C
12412,2011-06,1,514.5,358,-3,0
12412,2011-07,1,376.24,241,-2,0
12412,2011-09,1,336.14,230,0,0
12413,2011-01,1,479.25,180,-8,0
12413,2011-04,1,84.65,25,-5,0
12413,2011-10,1,194.20000000000002,81,1,0
12414,2011-02,1,153.76,145,-7,0
12414,2011-04,1,242.8,113,-5,0
12414,2011-05,1,165.85,42,-4,0
12415,2011-01,2,7092.9800000000005,4758,-8,C
12415,2011-02,1,14022.92,8384,-7,0
12415,2011-03,1,16726.84,10272,-6,0
12415,2011-04,1,350.0,1,-5,0
12415,2011-05,2,12691.16,8584,-4,C
12415,2011-06,2,23426.81,15241,-3,C
12415,2011-07,3,2955.01,4429,-2,C
12415,2011-08,1,21880.44,12196,-1,0
12415,2011-09,2,2941.7200000000003,2836,0,C
12415,2011-10,2,16471.77,7135,1,C
12415,2011-11,4,6354.88,3538,2,C
12417,2010-12,1,291.34,60,-9,0
12417,2011-01,1,323.44,108,-8,0
12417,2011-03,1,410.0,126,-6,0
12417,2011-04,1,436.3,267,-5,0
12417,2011-06,1,437.19,134,-3,0
12417,2011-08,2,918.25,534,-1,C
12417,2011-10,1,462.85,148,1,0
12417,2011-12,1,369.73,175,3,0
12418,2011-08,1,668.58,407,-1,0
12420,2011-10,1,600.39,345,1,0
12421,2011-01,1,157.45,104,-8,0
12421,2011-06,1,239.35,145,-3,0
12421,2011-08,1,231.76,158,-1,0
12421,2011-11,1,178.48,77,2,0
12422,2011-01,1,238.5,113,-8,0
12422,2011-06,1,417.36,175,-3,0
12422,2011-09,1,147.7,82,0,0
12423,2010-12,1,237.93,188,-9,0
12423,2011-02,1,192.31,194,-7,0
12423,2011-03,1,347.35,139,-6,0
12423,2011-04,1,255.36,248,-5,0
12423,2011-05,1,333.82,161,-4,0
12423,2011-06,1,84.92,57,-3,0
12423,2011-08,1,198.98,149,-1,0
12423,2011-12,1,208.64000000000001,203,3,0
12424,2011-06,2,1760.96,740,-3,C
12425,2011-09,1,777.2,496,0,0
12426,2011-05,1,582.73,258,-4,0
12427,2010-12,1,303.5,79,-9,0
12427,2011-10,1,282.58,114,1,0
12427,2011-11,1,239.72,340,2,0
12428,2011-03,5,5936.82,2536,-6,C
12428,2011-04,1,373.72,237,-5,0
12428,2011-07,1,632.44,228,-2,0
12428,2011-08,1,605.14,385,-1,0
12428,2011-11,1,408.34000000000003,150,2,0
12429,2010-12,1,1281.5,454,-9,0
12429,2011-04,1,437.98,198,-5,0
12429,2011-06,1,1125.4,393,-3,0
12429,2011-11,1,905.52,512,2,0
12430,2011-10,1,256.4,117,1,0
12431,2010-12,2,706.45,243,-9,C
12431,2011-01,1,384.68,110,-8,0
12431,2011-02,2,1052.65,496,-7,C
12431,2011-05,2,947.25,415,-4,C
12431,2011-07,3,1107.28,460,-2,C
12431,2011-08,1,608.76,374,-1,0
12431,2011-10,3,1011.44,462,1,C
12431,2011-11,1,601.44,336,2,0
12432,2011-06,3,4016.66,1427,-3,C
12432,2011-10,2,1042.66,374,1,C
12433,2010-12,2,3787.12,3582,-9,C
12433,2011-09,1,2608.11,1849,0,0
12433,2011-10,1,1498.66,1114,1,0
12433,2011-11,1,2843.29,2299,2,0
12433,2011-12,2,2638.69,2227,3,C
12434,2011-03,1,286.25,77,-6,0
12434,2011-09,1,519.89,317,0,0
12435,2011-03,1,3978.9900000000002,879,-6,0
12435,2011-09,1,3850.9,1176,0,0
12436,2011-09,1,509.01,211,0,0
12437,2011-01,1,392.7,134,-8,0
12437,2011-02,3,590.26,569,-7,C
12437,2011-03,1,147.70999999999998,98,-6,0
12437,2011-04,1,209.10000000000002,147,-5,0
12437,2011-05,2,635.3199999999999,336,-4,C
12437,2011-06,1,501.64,359,-3,0
12437,2011-09,3,557.28,327,0,C
12437,2011-10,1,263.46,78,1,0
12437,2011-11,4,1488.04,853,2,C
12437,2011-12,1,165.9,21,3,0
12438,2011-07,1,890.0699999999999,586,-2,0
12438,2011-11,1,2016.78,594,2,0
12441,2010-12,1,173.55,121,-9,0
12442,2011-12,1,172.06,182,3,0
12444,2011-06,1,1870.2,582,-3,0
12444,2011-08,1,757.0699999999999,68,-1,0
12444,2011-09,1,562.54,178,0,0
12444,2011-10,1,879.01,85,1,0
12444,2011-11,1,936.64,240,2,0
12445,2011-11,1,133.4,62,2,0
12446,2011-10,1,1002.3100000000001,351,1,0
12447,2011-04,1,476.49,190,-5,0
12448,2011-10,1,449.45,243,1,0
12449,2011-06,1,858.9300000000001,390,-3,0
12449,2011-08,1,777.95,267,-1,0
12449,2011-09,1,1087.7,372,0,0
12449,2011-11,1,1342.71,524,2,0
12450,2011-06,1,101.88,64,-3,0
12450,2011-07,1,96.0,64,-2,0
12451,2011-01,1,2919.5099999999998,2334,-8,0
12451,2011-05,1,2388.31,1771,-4,0
12451,2011-10,1,2539.56,1650,1,0
12451,2011-11,2,1188.14,820,2,C
12452,2011-11,2,430.57,185,2,C
12453,2011-07,1,707.09,473,-2,0
12454,2011-10,1,3528.34,1006,1,0
12455,2011-02,2,1698.9,1523,-7,C
12455,2011-06,1,264.4,107,-3,0
12455,2011-07,1,134.5,103,-2,0
12455,2011-08,1,78.56,33,-1,0
12455,2011-09,1,290.5,323,0,0
12456,2011-03,1,940.1700000000001,445,-6,0
12456,2011-07,1,1325.23,628,-2,0
12456,2011-10,1,915.64,560,1,0
12457,2011-04,3,1067.25,397,-5,C
12457,2011-09,3,1099.63,413,0,C
12457,2011-10,1,196.35,33,1,0
12458,2011-02,1,441.92,270,-7,0
12458,2011-09,1,505.48,236,0,0
12461,2011-07,1,626.88,282,-2,0
12461,2011-09,1,200.0,5,0,0
12462,2011-02,1,762.11,287,-7,0
12462,2011-11,1,427.48,249,2,0
12463,2011-04,1,350.57,189,-5,0
12463,2011-05,1,297.38,168,-4,0
12463,2011-06,1,337.84000000000003,220,-3,0
12463,2011-10,1,358.99,199,1,0
12464,2011-02,2,363.84999999999997,36,-7,C
12464,2011-05,2,181.0,18,-4,C
12464,2011-07,1,45.599999999999994,13,-2,0
12464,2011-08,1,190.1,14,-1,0
12464,2011-11,2,431.5,31,2,C
12465,2011-06,1,440.94,294,-3,0
12465,2011-11,1,301.25,185,2,0
12468,2011-01,1,220.59,127,-8,0
12468,2011-06,1,508.95000000000005,239,-3,0
12471,2010-12,4,3838.96,1534,-9,C
12471,2011-01,1,753.4499999999999,100,-8,0
12471,2011-02,2,1335.7,381,-7,C
12471,2011-03,2,878.3199999999999,308,-6,C
12471,2011-04,2,674.29,390,-5,C
12471,2011-05,2,881.1999999999999,324,-4,C
12471,2011-07,3,978.26,447,-2,C
12471,2011-08,3,1740.82,856,-1,C
12471,2011-09,2,663.76,368,0,C
12471,2011-10,2,2385.38,963,1,C
12471,2011-11,6,3420.0,1639,2,C
12471,2011-12,1,2238.5099999999998,890,3,0
12472,2010-12,1,1631.3,972,-9,0
12472,2011-01,1,825.36,485,-8,0
12472,2011-03,1,592.18,368,-6,0
12472,2011-06,1,1266.66,791,-3,0
12472,2011-07,1,612.1,472,-2,0
12472,2011-10,1,1376.43,923,1,0
12472,2011-11,1,268.08,137,2,0
12473,2011-06,1,661.6899999999999,532,-3,0
12473,2011-08,1,514.06,321,-1,0
12473,2011-10,1,1697.98,1557,1,0
12473,2011-11,2,1054.32,4,2,C
12474,2011-01,3,599.8,289,-8,C
12474,2011-02,1,287.58000000000004,124,-7,0
12474,2011-03,2,1063.67,707,-6,C
12474,2011-05,2,768.08,542,-4,C
12474,2011-06,2,472.01,287,-3,C
12474,2011-07,2,705.24,535,-2,C
12474,2011-09,1,465.68,314,0,0
12474,2011-10,3,1835.0,1288,1,C
12474,2011-11,2,1127.03,747,2,C
12475,2011-10,1,723.38,535,1,0
12476,2010-12,1,12.45,2,-9,0
12476,2011-01,1,549.58,131,-8,0
12476,2011-02,1,160.2,47,-7,0
12476,2011-04,1,1411.67,628,-5,0
12476,2011-05,1,311.2,20,-4,0
12476,2011-07,1,746.5699999999999,304,-2,0
12476,2011-09,1,533.6,185,0,0
12476,2011-10,2,1097.16,428,1,C
12476,2011-11,2,1993.99,663,2,C
12477,2011-02,1,2355.9500000000003,639,-7,0
12477,2011-04,1,2221.02,728,-5,0
12477,2011-08,1,4257.0599999999995,1151,-1,0
12477,2011-10,2,2348.02,662,1,C
12477,2011-11,1,2037.69,473,2,0
12478,2011-12,1,680.99,236,3,0
12479,2011-11,1,527.2,385,2,0
12480,2011-01,1,816.25,367,-8,0
12480,2011-03,1,771.02,395,-6,0
12480,2011-07,1,557.6800000000001,334,-2,0
12480,2011-11,1,1136.6799999999998,611,2,0
12481,2010-12,2,791.34,319,-9,C
12481,2011-01,1,603.09,413,-8,0
12481,2011-03,2,832.34,693,-6,C
12481,2011-05,2,857.28,509,-4,C
12481,2011-06,1,1001.21,417,-3,0
12481,2011-10,1,1307.76,790,1,0
12481,2011-11,1,186.79999999999998,153,2,0
12483,2011-01,1,547.56,293,-8,0
12483,2011-04,1,323.0,109,-5,0
12483,2011-05,2,124.10000000000001,39,-4,C
12483,2011-06,1,319.95,188,-3,0
12483,2011-09,1,309.45,163,0,0
12483,2011-10,1,454.2,198,1,0
12483,2011-11,1,406.72,120,2,0
12484,2011-01,1,1138.67,630,-8,0
12484,2011-06,1,1137.99,424,-3,0
12484,2011-08,2,1381.99,803,-1,C
12484,2011-11,2,868.6700000000001,330,2,C
12488,2011-09,1,553.39,169,0,0
12488,2011-10,1,214.06,90,1,0
12488,2011-11,1,531.21,270,2,0
12489,2011-01,1,334.93,105,-8,0
12490,2011-01,1,864.22,548,-8,0
12490,2011-05,1,331.5,164,-4,0
12490,2011-06,1,484.06,211,-3,0
12490,2011-07,1,412.93,236,-2,0
12490,2011-08,1,424.06,201,-1,0
12490,2011-09,1,1035.82,650,0,0
12490,2011-11,3,1403.04,799,2,C
12490,2011-12,1,462.3,255,3,0
12491,2011-11,1,460.40000000000003,260,2,0
12492,2011-08,1,126.39000000000001,69,-1,0
12492,2011-10,1,136.82,123,1,0
12493,2011-05,1,232.5,88,-4,0
12493,2011-06,1,201.24,119,-3,0
12494,2010-12,2,62.55,12,-9,C
12494,2011-02,1,250.0,116,-7,0
12494,2011-05,1,403.09000000000003,157,-4,0
12494,2011-07,1,153.22,79,-2,0
12494,2011-10,1,214.74,209,1,0
12494,2011-11,1,162.5,134,2,0
12497,2011-09,1,1043.1,1236,0,0
12498,2011-10,1,247.25,69,1,0
12498,2011-11,2,156.45,90,2,C
12500,2011-01,1,344.94,243,-8,0
12500,2011-02,1,373.98,303,-7,0
12500,2011-03,2,491.28000000000003,362,-6,C
12500,2011-06,1,185.64000000000001,73,-3,0
12500,2011-08,1,378.0,289,-1,0
12500,2011-10,4,1866.94,831,1,C
12500,2011-11,1,617.04,577,2,0
12501,2011-01,1,2169.39,1783,-8,0
12502,2011-02,1,617.25,171,-7,0
12502,2011-03,1,702.8,175,-6,0
12502,2011-05,1,522.6,88,-4,0
12502,2011-08,1,788.87,152,-1,0
12502,2011-09,1,1092.35,234,0,0
12504,2011-11,2,482.04999999999995,90,2,C
12506,2011-04,1,73.5,23,-5,0
12507,2011-02,1,446.16,219,-7,0
12507,2011-07,2,858.65,675,-2,C
12508,2011-11,2,397.88,271,2,C
12509,2011-02,1,176.5,55,-7,0
12510,2011-01,1,681.05,294,-8,0
12510,2011-07,1,301.52,59,-2,0
12512,2011-10,2,132.18,96,1,C
12513,2011-08,1,612.29,462,-1,0
12514,2011-03,1,1017.68,440,-6,0
12515,2010-12,1,383.7,131,-9,0
12516,2011-06,1,583.2,345,-3,0
12516,2011-09,1,728.86,530,0,0
12517,2011-06,1,749.7,413,-3,0
12517,2011-08,1,771.75,421,-1,0
12517,2011-09,1,417.2,210,0,0
12517,2011-11,2,542.95,317,2,C
12518,2011-08,1,324.83,187,-1,0
12518,2011-09,1,524.9,295,0,0
12518,2011-10,1,381.06,324,1,0
12518,2011-11,1,486.96000000000004,324,2,0
12518,2011-12,1,339.14,188,3,0
12519,2011-10,1,330.84,175,1,0
12520,2011-03,2,1233.96,746,-6,C
12520,2011-05,1,463.59999999999997,199,-4,0
12520,2011-07,1,348.29,154,-2,0
12520,2011-09,1,588.41,340,0,0
12521,2011-07,1,599.68,309,-2,0
12522,2011-10,2,192.72,194,1,C
12523,2011-01,1,102.95,43,-8,0
12523,2011-02,1,143.4,78,-7,0
12523,2011-03,1,115.09,62,-6,0
12523,2011-04,1,138.75,88,-5,0
12523,2011-07,1,204.75,148,-2,0
12523,2011-08,2,312.81,141,-1,C
12523,2011-09,1,124.38,63,0,0
12523,2011-10,2,385.22,165,1,C
12523,2011-11,1,262.42,77,2,0
12524,2011-01,1,337.39,392,-8,0
12524,2011-02,1,525.3399999999999,271,-7,0
12524,2011-03,1,475.44,343,-6,0
12524,2011-05,2,1495.21,1117,-4,C
12524,2011-06,1,289.1,167,-3,0
12524,2011-10,1,1055.44,1299,1,0
12524,2011-11,1,307.79999999999995,110,2,0
12526,2011-09,1,520.3,318,0,0
12526,2011-10,1,519.28,226,1,0
12526,2011-12,1,277.08,88,3,0
12527,2011-01,1,132.52,113,-8,0
12527,2011-02,1,152.4,108,-7,0
12527,2011-09,1,63.790000000000006,13,0,0
12528,2011-01,1,493.53000000000003,281,-8,0
12528,2011-03,1,278.13,77,-6,0
12528,2011-07,1,281.71,94,-2,0
12528,2011-08,1,234.0,51,-1,0
12528,2011-10,1,274.51,102,1,0
12528,2011-11,1,371.6,151,2,0
12530,2011-01,1,387.40000000000003,95,-8,0
12530,2011-04,1,417.6,232,-5,0
12530,2011-08,1,416.65,273,-1,0
12530,2011-10,1,440.63,313,1,0
12531,2011-11,1,125.22,45,2,0
12532,2011-11,1,349.83000000000004,153,2,0
12534,2011-08,1,1089.18,651,-1,0
12535,2011-06,1,371.45,115,-3,0
12535,2011-09,1,344.9,104,0,0
12536,2011-10,3,12601.830000000002,2803,1,C
12538,2011-11,1,363.95,191,2,0
12539,2011-01,2,3431.7,1286,-8,C
12539,2011-03,1,1085.99,335,-6,0
12539,2011-11,1,1050.66,446,2,0
12540,2010-12,1,881.01,300,-9,0
12540,2011-01,1,1147.1799999999998,475,-8,0
12540,2011-02,1,288.98,193,-7,0
12540,2011-03,1,1140.76,512,-6,0
12540,2011-05,2,2686.6,1355,-4,C
12540,2011-06,1,357.99,173,-3,0
12540,2011-07,2,1775.01,865,-2,C
12540,2011-08,1,509.34000000000003,317,-1,0
12540,2011-09,3,1709.12,905,0,C
12540,2011-10,2,1442.27,951,1,C
12540,2011-11,2,1461.98,639,2,C
12541,2011-03,1,312.4,288,-6,0
12541,2011-06,1,223.74,131,-3,0
12541,2011-11,1,445.03999999999996,261,2,0
12544,2011-11,1,372.7,136,2,0
12545,2011-03,1,628.15,346,-6,0
12545,2011-09,1,372.24,177,0,0
12546,2011-09,1,760.2,475,0,0
12546,2011-10,1,401.3,158,1,0
12547,2011-03,1,159.4,109,-6,0
12547,2011-05,1,48.4,25,-4,0
12548,2011-06,1,95.19999999999999,49,-3,0
12550,2011-09,1,964.83,569,0,0
12551,2010-12,1,168.0,100,-9,0
12552,2011-10,1,317.82,85,1,0
12552,2011-11,1,120.0,3,2,0
12553,2011-01,1,700.31,446,-8,0
12553,2011-02,1,6.3,15,-7,0
12553,2011-03,2,675.16,389,-6,C
12553,2011-05,1,352.85,128,-4,0
12553,2011-07,1,284.75,137,-2,0
12553,2011-08,1,400.21999999999997,236,-1,0
12553,2011-10,1,477.55,220,1,0
12553,2011-11,1,518.12,225,2,0
12553,2011-12,1,277.02,169,3,0
12556,2011-07,1,308.75,163,-2,0
12556,2011-10,1,290.81,192,1,0
12557,2010-12,1,620.0,400,-9,0
12557,2011-01,1,3417.1200000000003,1008,-8,0
12557,2011-03,1,817.5,550,-6,0
12557,2011-07,1,4146.34,1506,-2,0
12557,2011-11,1,2990.0,920,2,0
12558,2011-12,1,269.96,196,3,0
12559,2011-01,1,486.11,247,-8,0
12559,2011-02,1,75.60000000000001,36,-7,0
12560,2011-07,1,1292.31,812,-2,0
12560,2011-08,1,144.0,8,-1,0
12560,2011-12,1,697.7,290,3,0
12561,2011-02,1,238.85,177,-7,0
12562,2011-05,1,444.96000000000004,183,-4,0
12562,2011-06,1,510.27,270,-3,0
12562,2011-08,1,650.0,323,-1,0
12562,2011-09,1,388.64,231,0,0
12562,2011-10,1,513.6,234,1,0
12562,2011-11,1,619.9,215,2,0
12562,2011-12,1,654.37,323,3,0
12564,2011-03,1,456.9,133,-6,0
12565,2011-02,1,145.92,80,-7,0
12566,2011-09,1,351.65,265,0,0
12567,2010-12,2,1942.38,778,-9,C
12567,2011-02,1,1236.73,617,-7,0
12567,2011-05,1,705.21,234,-4,0
12567,2011-06,3,2222.7799999999997,989,-3,C
12567,2011-08,1,851.06,406,-1,0
12567,2011-09,1,891.8199999999999,509,0,0
12567,2011-11,1,1551.3,772,2,0
12569,2011-04,3,796.4,297,-5,C
12569,2011-05,2,367.92,195,-4,C
12569,2011-06,2,237.42000000000002,126,-3,C
12569,2011-07,2,166.25,82,-2,C
12569,2011-08,3,315.03,88,-1,C
12569,2011-09,3,284.66,69,0,C
12569,2011-10,6,706.72,359,1,C
12569,2011-11,5,555.27,285,2,C
12569,2011-12,6,695.02,300,3,C
12571,2011-08,1,248.35,197,-1,0
12571,2011-10,1,271.26,326,1,0
12572,2011-10,1,532.74,293,1,0
12572,2011-12,1,487.68,159,3,0
12573,2011-04,1,160.54000000000002,84,-5,0
12574,2011-01,1,218.45,61,-8,0
12576,2011-02,1,266.85,199,-7,0
12576,2011-05,1,154.8,116,-4,0
12576,2011-07,1,239.2,148,-2,0
12576,2011-09,1,275.7,202,0,0
12576,2011-11,1,379.28,302,2,0
12577,2010-12,1,195.89,134,-9,0
12577,2011-11,2,430.71,335,2,C
12578,2011-01,1,1608.66,748,-8,0
12578,2011-11,1,1185.85,448,2,0
12579,2011-09,1,440.42,285,0,0
12580,2011-04,1,415.7,238,-5,0
12581,2011-10,1,197.71,161,1,0
12582,2011-02,1,205.16,141,-7,0
12582,2011-04,1,306.2,159,-5,0
12583,2010-12,1,855.86,449,-9,0
12583,2011-01,1,730.16,491,-8,0
12583,2011-02,1,321.56,454,-7,0
12583,2011-03,1,712.8499999999999,325,-6,0
12583,2011-05,1,421.96,306,-4,0
12583,2011-06,2,617.48,1067,-3,C
12583,2011-07,1,329.24,200,-2,0
12583,2011-08,1,243.1,171,-1,0
12583,2011-09,2,868.03,452,0,C
12583,2011-10,1,314.20000000000005,101,1,0
12583,2011-11,2,1172.17,732,2,C
12583,2011-12,1,694.77,312,3,0
12584,2011-03,1,463.63,84,-6,0
12584,2011-06,1,159.11,31,-3,0
12584,2011-07,1,147.1,22,-2,0
12584,2011-08,1,12.75,1,-1,0
12584,2011-09,1,279.8,48,0,0
12584,2011-10,2,661.0600000000001,122,1,C
12584,2011-11,1,414.25,63,2,0
12584,2011-12,1,200.45000000000002,45,3,0
12585,2010-12,1,1262.85,872,-9,0
12585,2011-04,1,777.25,407,-5,0
12586,2011-11,1,196.94000000000003,79,2,0
12587,2011-12,1,144.0,51,3,0
12588,2011-10,1,214.89999999999998,53,1,0
12589,2011-07,1,131.5,83,-2,0
12589,2011-11,1,515.1800000000001,223,2,0
12590,2011-05,2,9864.26,4283,-4,C
12591,2011-01,1,452.84999999999997,228,-8,0
12592,2011-05,1,231.8,165,-4,0
12592,2011-09,1,205.8,125,0,0
12593,2011-05,1,236.0,100,-4,0
12593,2011-08,2,182.1,106,-1,C
12594,2011-01,1,341.0,145,-8,0
12594,2011-02,1,256.0,111,-7,0
12594,2011-03,2,325.5,164,-6,C
12594,2011-04,1,255.04000000000002,208,-5,0
12594,2011-05,1,587.45,267,-4,0
12594,2011-06,1,42.96,24,-3,0
12594,2011-08,1,721.95,521,-1,0
12594,2011-10,1,722.4000000000001,289,1,0
12594,2011-11,1,85.92,48,2,0
12596,2011-04,1,269.95,156,-5,0
12596,2011-10,1,348.32,318,1,0
12597,2011-03,1,516.15,230,-6,0
12597,2011-06,1,912.66,445,-3,0
12597,2011-10,1,2176.45,1484,1,0
12597,2011-11,1,205.96,77,2,0
12598,2011-02,1,720.86,316,-7,0
12598,2011-05,2,564.88,370,-4,C
12598,2011-07,1,298.64,285,-2,0
12598,2011-09,1,361.76,288,0,0
12598,2011-11,3,1076.94,705,2,C
12599,2011-02,2,312.46000000000004,287,-7,C
12599,2011-05,1,151.4,141,-4,0
12599,2011-06,1,134.28,109,-3,0
12599,2011-07,1,78.6,49,-2,0
12599,2011-08,1,180.3,163,-1,0
12599,2011-11,1,175.54000000000002,207,2,0
12600,2010-12,2,274.8,74,-9,C
12600,2011-02,1,427.94000000000005,105,-7,0
12600,2011-03,1,124.08000000000001,25,-6,0
12600,2011-04,1,286.88,85,-5,0
12600,2011-05,1,202.26000000000002,47,-4,0
12600,2011-07,1,345.23,107,-2,0
12600,2011-08,1,275.37,101,-1,0
12600,2011-09,1,282.90000000000003,69,0,0
12600,2011-11,1,379.58000000000004,161,2,0
12601,2011-01,1,144.26,87,-8,0
12601,2011-02,1,113.10000000000001,51,-7,0
12601,2011-03,1,111.0,49,-6,0
12601,2011-05,1,140.6,35,-4,0
12601,2011-06,1,68.1,23,-3,0
12602,2011-10,1,153.12,162,1,0
12603,2011-11,1,739.1999999999999,63,2,0
12604,2011-03,1,178.5,137,-6,0
12604,2011-09,1,75.68,64,0,0
12607,2011-10,1,1579.51,1228,1,0
12609,2011-01,1,287.93,223,-8,0
12609,2011-06,1,512.8,295,-3,0
12609,2011-09,1,326.12,130,0,0
12610,2011-08,2,1256.25,625,-1,C
12610,2011-10,2,595.0899999999999,255,1,C
12610,2011-11,1,248.2,169,2,0
12611,2011-10,1,1193.32,846,1,0
12612,2011-09,1,704.0400000000001,262,0,0
12613,2011-03,2,821.66,486,-6,C
12613,2011-05,2,640.86,273,-4,C
12613,2011-10,1,1881.8600000000001,885,1,0
12614,2011-03,1,315.6,76,-6,0
12615,2011-06,1,634.74,413,-3,0
12615,2011-09,1,576.65,338,0,0
12615,2011-11,1,656.95,376,2,0
12615,2011-12,1,422.85,249,3,0
